DEL NZD USD 7747111 12873589
INS NZD USD 14221802 0.64288 0.64301
DEL NZD USD 5468620
INS EUR USD 5100352 1.12858 1.12862
INS NZD USD 14221336 0.64252 0.64263
INS NZD USD 14221722 0.64281 0.64295
INS EUR USD 5100457 1.12923 1.12928
INS NZD USD 14221621 0.64251 0.64267
INS NZD USD 14222531 0.64264 0.64275
INS EUR USD 5100627 1.12921 1.12925
INS EUR USD 5101032 1.12877 1.12881
INS EUR USD 5100629 1.1293 1.12932
INS NZD USD 14221052 0.64253 0.64265
INS NZD USD 14221111 0.64253 0.64264
UPD EUR USD 4836845 1.133279 1.133259
INS NZD USD 14221601 0.64238 0.64253
INS EUR USD 5100531 1.12907 1.1291
UPD EUR USD 4942915 1.137990 1.137960
INS EUR USD 5101129 1.12872 1.12876
INS EUR USD 5101005 1.12882 1.12886
INS EUR USD 5100601 1.12908 1.12913
INS NZD USD 14221656 0.64271 0.64284
INS EUR USD 5100900 1.12948 1.12951
UPD EUR USD 4984975 1.113289 1.113260
INS NZD USD 14222714 0.64251 0.64263
INS EUR USD 5100959 1.12874 1.12879
INS NZD USD 14221427 0.64251 0.64263
INS NZD USD 14220918 0.64212 0.64225
INS NZD USD 14222144 0.64293 0.64304
INS NZD USD 14222311 0.64318 0.64329
INS NZD USD 14221056 0.64248 0.64261
INS NZD USD 14222241 0.64305 0.64316
INS EUR USD 5100917 1.1293 1.12936
INS EUR USD 5101103 1.1286 1.12861
INS NZD USD 14221504 0.64249 0.64257
INS EUR USD 5100936 1.12894 1.12898
INS NZD USD 14221634 0.64267 0.64282
INS NZD USD 14220618 0.6418 0.64193
INS NZD USD 14221931 0.64271 0.64286
INS EUR USD 5101009 1.12887 1.12889
INS EUR USD 5101250 1.12853 1.12856
INS NZD USD 14221133 0.64241 0.64255
INS NZD USD 14220846 0.64214 0.64229
INS EUR USD 5100752 1.12962 1.12965
INS EUR USD 5100432 1.12924 1.12925
INS EUR USD 5101059 1.12863 1.12866
INS NZD USD 14222203 0.64311 0.64324
INS NZD USD 14221335 0.64252 0.64265
INS NZD USD 14222526 0.64265 0.64275
INS NZD USD 14221455 0.64246 0.6426
INS NZD USD 14221551 0.6423 0.64244
INS NZD USD 14221031 0.64233 0.64243
INS EUR USD 5101118 1.12874 1.12877
INS EUR USD 5101249 1.12853 1.12855
INS NZD USD 14222245 0.64307 0.64318
INS NZD USD 14220924 0.6422 0.64232
INS NZD USD 14220702 0.64185 0.64194
INS EUR USD 5100503 1.12903 1.12906
INS NZD USD 14222104 0.64287 0.64298
INS NZD USD 14222427 0.64277 0.64291
INS NZD USD 14221328 0.64251 0.64266
INS NZD USD 14222322 0.64298 0.64311
INS NZD USD 14220704 0.64189 0.642
INS NZD USD 14222312 0.64311 0.64325
INS EUR USD 5101223 1.12834 1.12839
INS EUR USD 5100700 1.12962 1.12964
INS NZD USD 14222252 0.64303 0.64314
INS NZD USD 14221146 0.64251 0.64264
INS EUR USD 5100644 1.12957 1.1296
INS EUR USD 5100949 1.12897 1.12898
INS EUR USD 5101047 1.12881 1.12883
INS EUR USD 5100935 1.12895 1.12898
UPD NZD USD 14066351 0.6728462 0.6727206
DEL EUR USD 3109462 5798916
INS EUR USD 5100838 1.12959 1.12964
INS EUR USD 5100809 1.12975 1.12979
INS NZD USD 14221445 0.64247 0.64262
INS NZD USD 14222100 0.64279 0.64293
INS EUR USD 5100410 1.12868 1.12872
INS EUR USD 5100448 1.12911 1.12915
INS NZD USD 14221635 0.64269 0.64284
INS EUR USD 5100825 1.12943 1.12947
INS NZD USD 14221559 0.64231 0.64247
INS NZD USD 14221754 0.64279 0.64293
INS EUR USD 5100534 1.12908 1.1291
INS NZD USD 14222722 0.64252 0.64265
INS EUR USD 5100615 1.12916 1.1292
INS NZD USD 14221707 0.64282 0.64298
INS NZD USD 14221937 0.64276 0.64288
INS NZD USD 14222533 0.64262 0.64273
INS EUR USD 5100753 1.12967 1.12969
INS EUR USD 5100800 1.12982 1.12985
INS EUR USD 5100821 1.1295 1.12955
INS NZD USD 14220940 0.6422 0.64233
INS NZD USD 14221008 0.64223 0.64234
INS NZD USD 14220926 0.6422 0.64231
INS NZD USD 14221243 0.6424 0.64253
INS EUR USD 5101106 1.12863 1.12866
INS NZD USD 14221114 0.64245 0.64256
INS EUR USD 5100855 1.12952 1.12954
INS NZD USD 14221712 0.6428 0.64293
INS EUR USD 5100454 1.1291 1.12913
INS NZD USD 14221050 0.64253 0.64265
INS EUR USD 5100847 1.12958 1.12963
INS EUR USD 5100831 1.12954 1.12959
INS NZD USD 14221432 0.64251 0.64264
INS NZD USD 14222406 0.64277 0.6429
INS NZD USD 14220844 0.64216 0.64229
INS NZD USD 14222611 0.64257 0.64267
INS NZD USD 14222434 0.64265 0.64277
INS NZD USD 14221520 0.64223 0.64237
INS EUR USD 5100551 1.12903 1.12906
INS NZD USD 14222207 0.64316 0.6433
INS EUR USD 5101132 1.12865 1.12868
INS EUR USD 5100654 1.12955 1.12958
INS EUR USD 5101100 1.12861 1.12864
INS NZD USD 14220605 0.64181 0.64193
INS NZD USD 14222138 0.64288 0.64301
INS NZD USD 14222530 0.64264 0.64276
INS EUR USD 5101115 1.12879 1.12882
INS EUR USD 5100931 1.12904 1.12908
INS EUR USD 5100907 1.12942 1.12946
INS NZD USD 14220937 0.64219 0.64232
INS EUR USD 5100643 1.12962 1.12963
INS NZD USD 14220915 0.64212 0.64226
INS EUR USD 5101221 1.12834 1.12838
